TipLabel,distance_from_brown
Arremon_semitorquatus,4445.63612153098
Arremon_taciturnus,4579.70887184034
Arremon_torquatus,3940.567856659632
Arremon_virenticeps,4366.012284619324
Arremonops_chloronotus,3611.6335891293243
Arremonops_conirostris,3801.914542502384
Arremonops_rufivirgatus,3302.548130999621
Arremonops_tocuyensis,3803.913365311174
Arses_insularis,5051.952619210003
Arses_kaupi,4696.793816122746
Arses_telescophthalmus,4616.909136251682
Artamella_viridis,3896.823862017718
Artamus_cinereus,3446.500029328027
Artamus_cyanopterus,1110.8644828472623
Artamus_fuscus,2327.015724753205
Artamus_insignis,3673.4021903616594
Artamus_leucorynchus,3901.3774040594913
Artamus_maximus,3813.5849573179726
Artamus_mentalis,3886.6257828250723
Artamus_minor,1485.4369668642933
Artamus_monachus,3853.1853948413973
Artamus_personatus,3874.959029450642
Artamus_superciliosus,2279.3853930457713
Artisornis_metopias,3751.193247591652
Artisornis_moreaui,3853.0435353476614
Arundinicola_leucocephala,3654.188714463968
Ashbyia_lovensis,6721.460394801861
Asthenes_anthoides,2306.214862848921
Asthenes_baeri,3144.352822922257
Asthenes_berlepschi,3043.414118157684
Asthenes_cactorum,3500.347358191043
Asthenes_dorbignyi,2961.2563624277195
Asthenes_flammulata,1934.4168805661402
Asthenes_heterura,2652.250332181631
Asthenes_hudsoni,3200.0963624722203
Asthenes_humicola,2269.382882457247
Asthenes_humilis,2487.6668820757927
Asthenes_luizae,2258.81611631369
Asthenes_maculicauda,2530.2013814065176
Asthenes_modesta,2713.078315977313
Asthenes_ottonis,2808.176416055019
Asthenes_patagonica,2650.862617943052
Asthenes_pudibunda,2580.0900589685693
Asthenes_pyrrholeuca,3322.578273765536
Asthenes_sclateri,2916.227801440507
Asthenes_steinbachi,2550.062728852075
Asthenes_urubambensis,3347.5852439448095
Asthenes_virgata,2991.5112600183893
Asthenes_wyatti,3247.1681671882943
Astrapia_mayeri,4488.23509606477
Astrapia_nigra,4560.831367049044
Astrapia_rothschildi,4908.698251098621
Astrapia_splendidissima,4561.268869842359
Astrapia_stephaniae,5135.632927677538
Atalotriccus_pilaris,3496.885138928389
Atlapetes_albiceps,3878.1992362329825
Atlapetes_albinucha,6814.245811127829
Atlapetes_albofrenatus,6167.323053787185
Atlapetes_canigenis,3231.527129339955
Atlapetes_citrinellus,6633.26988562336
Atlapetes_flaviceps,6103.336478664546
Atlapetes_forbesi,3993.642608576687
Atlapetes_fulviceps,6727.477455337524
Atlapetes_fuscoolivaceus,6520.7980847179
Atlapetes_latinuchus,6430.004395172298
Atlapetes_leucopis,3323.377012647476
Atlapetes_leucopterus,4839.289824859913
Atlapetes_melanocephalus,5716.156534160764
Atlapetes_melanolaemus,4247.158831433299
Atlapetes_melanopsis,3874.3914958902415
Atlapetes_nationi,3554.388039655341
Atlapetes_pallidiceps,3513.3653762202516
Atlapetes_pallidinucha,6706.360430976373
Atlapetes_personatus,6686.600972262198
Atlapetes_pileatus,6920.184759511868
Atlapetes_rufigenis,3607.548794871811
Atlapetes_rufinucha,6804.077602377469
Atlapetes_schistaceus,3911.2210346708594
Atlapetes_seebohmi,3580.62200231468
Atlapetes_semirufus,5421.338378399707
Atlapetes_terborghi,6848.004385577082
Atlapetes_tricolor,6768.05540879949
Atrichornis_clamosus,3325.827880021906
Atrichornis_rufescens,2784.750828653
Atticora_fasciata,3719.2333876811076
Atticora_melanoleuca,3768.4699471400586
Attila_bolivianus,5240.756105587918
Attila_cinnamomeus,5280.318662250465
Attila_citriniventris,5232.710347523812
Attila_phoenicurus,5377.364694334424
Attila_rufus,5484.639477121335
Attila_spadiceus,4441.696479485491
Attila_torridus,5314.1638934210105
Auriparus_flaviceps,6295.330780285685
Automolus_infuscatus,3495.4949158181466
Automolus_leucophthalmus,3574.5974440355176
Automolus_melanopezus,4195.259195716433
Automolus_ochrolaemus,3670.0334859313493
Automolus_rubiginosus,3775.578387269487
Automolus_rufipileatus,3516.161371876835
Babax_koslowi,3210.6398323932585
Babax_lanceolatus,3227.142471377582
Babax_waddelli,1769.7004922561007
Baeolophus_atricristatus,3897.680835621695
Baeolophus_bicolor,4143.219016668783
Baeolophus_inornatus,2655.6965597063654
Baeolophus_ridgwayi,3337.8099880086543
Baeolophus_wollweberi,3903.0689988398813
Baeopogon_clamans,2469.906317273289
Baeopogon_indicator,2474.203218485855
Bangsia_arcaei,6843.129697385055
Bangsia_aureocincta,6665.087136113855
Bangsia_edwardsi,6633.684742093935
Bangsia_melanochlamys,6129.4768453535235
Bangsia_rothschildi,6499.651621249485
Basileuterus_basilicus,4885.0968967377985
Basileuterus_belli,5586.981031705883
Basileuterus_bivittatus,5908.165612891879
Basileuterus_chrysogaster,5630.274537402517
Basileuterus_cinereicollis,4137.311501526447
Basileuterus_conspicillatus,5607.218111252544
Basileuterus_coronatus,5387.802460032103
Basileuterus_culicivorus,4873.045765851868
Basileuterus_flaveolus,4589.632711285386
Basileuterus_fraseri,5734.593380171315
Basileuterus_griseiceps,5843.889857393134
Basileuterus_hypoleucus,3729.5683386337732
Basileuterus_ignotus,3214.9876732352086
Basileuterus_leucoblepharus,2898.5667602646295
Basileuterus_leucophrys,3381.508703427288
Basileuterus_luteoviridis,5413.821460188826
Basileuterus_melanogenys,3532.408208173979
Basileuterus_nigrocristatus,6146.844903428077
Basileuterus_rufifrons,5266.292932608311
Basileuterus_signatus,5921.595692612811
Basileuterus_trifasciatus,4540.126119064943
Basileuterus_tristriatus,3930.5003728925
Basilornis_celebensis,3095.887958287593
Basilornis_corythaix,4228.578874756306
Basilornis_galeatus,3092.813180910418
Basilornis_mirandus,4159.546946920729
Batara_cinerea,4072.111095087932
Bathmocercus_cerviniventris,3714.1869701900837
Bathmocercus_rufus,4596.388171198669
Bathmocercus_winifredae,4184.755426243446
Batis_capensis,4594.68621042547
Batis_crypta,4433.562490784834
Batis_diops,4426.6804848936345
Batis_fratrum,4440.021859633312
Batis_ituriensis,3944.3592663229597
Batis_margaritae,4562.174009582736
Batis_minima,3941.552360662121
Batis_minor,3768.2235202780653
Batis_minulla,3888.073485610482
Batis_mixta,4315.421455614519
Batis_molitor,3902.177137915694
Batis_orientalis,3966.9717258223527
Batis_perkeo,3916.379777862723
Batis_poensis,3867.793043366961
