COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,intra_annual_variability,brain_residual,diet_breadth,adult_body_mass_g,functional_diet,mean_flock_size,total_range_km2,habitat_generalism_scaled,clutch_size,migration_status,Jan
Cattle Egret,Bubulcus ibis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Bubulcus_ibis,1.4223996747583152,1.750418067485094,1.6841990350186824,1.5670877892971038,1.8699976434409618,1.4648563340902327,1.4013839800655843,1.7770600490570068,1.618194593012333,1.786453215956688,1.678764816403389,0.15112344090369165,0.32028809,0.023867344,372,Invertebrate,4.5,63597825.31,0.33,4.5,Migrant,1.5949529097378254
Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae (Waxwings),Bombycilla_cedrorum,7.1321464130878445,8.10430391228199,7.9030123856067656,3.4534312086701395,1.1351559273004532,1.0574765787273646,1.4540722118616105,2.194230578929186,3.464050815761089,4.35252886468172,5.347297266900539,2.6005758003625004,0.239776612,0.051629037,32.04816667,FruiNect,7.666666666666667,14348129.03,0.22,4.12,Migrant,6.127544898986816
Chihuahuan Raven,Corvus cryptoleucus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_cryptoleucus,0.5719002395421267,0.4236725903004408,0.3215245257914066,0.23869222754240035,0.2661411121040583,0.27594539933651685,0.2685323457568884,0.29153681407123805,0.3114452743530273,0.5239497963637113,0.4660646618232131,0.11503174240610503,0.962465492,0.132631854,536.5,Omnivore,2,1508315.702,0.22,4.87,Migrant,0.4694330806583166
Cinnamon Teal,Spatula cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_cyanoptera,4.681195519208908,3.282112319290638,1.3703874725103378,0.7731196447014809,0.5530659345835447,1.1772708552330733,1.2658291979432106,2.292189518868923,3.7610454197525978,5.698776394426822,5.308879661023616,2.014720390541975,0.088773247,0.156120058,383,PlantSeed,3.75,8779845.939,0,9.13,Migrant,5.8491708894371985
Clapper Rail,Rallus crepitans,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Rallus_longirostris,1.2716236289441585,1.3095912754535675,1.462102550148964,1.2514490416049957,1.6217511447668076,1.5933300322890283,1.673691269159317,1.3471752544939517,1.156271505832672,1.3891645112335682,1.0344725196063518,0.19095140772615044,-0.01528948,0.075446587,294.8333334,Omnivore,2,226485.8105,0.22,8.65,Resident,1.3452345821857452
Common Eider,Somateria mollissima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Somateria_mollissima,0.8823074645102024,0.9104379180073738,0.8058453331291675,0.6039564613252878,0.39778539960086345,0.5426725499331951,0.5563433925956488,0.5609221929609776,0.6226487859487534,0.7708269463032484,0.7981278657317161,0.1837139847247683,0.130598936,0.049979556,2092,Invertebrate,14.833333333333334,8686792.921,0.22,3.06,Migrant,1.0113687509894371
Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_clangula,3.3206630662083625,2.4543006593585015,1.7120413630604745,1.4045856114327908,1.0115757066607476,0.9409488867223262,0.9302599107325077,1.3520621177852155,1.626824761211872,2.650442000865936,3.4226244854331016,1.0476696698185104,0.237978732,0.030954453,895.93,Invertebrate,4.25,37072399.72,0.22,9.3,Migrant,3.8645626804828646
Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae (Troupials and Allies),Quiscalus_quiscula,5.453560774803162,3.913391240298748,3.280748351812363,2.737369017243385,2.2522075957655905,2.43296181550622,4.0875951242446895,7.139259071230889,6.155555914640427,4.606596199274063,5.041728319406509,1.5084279444400488,0.607407344,0.111312137,111,Omnivore,3.9166666666666665,8474114.482,0.33,4.8,Migrant,4.747372010827065
Common Ground-Dove,Columbina passerina,Columbiformes,Columbidae (Pigeons and Doves),Columbina_passerina,1.2422907322049141,1.1508703772127629,1.1976385010182857,1.1648807184696197,1.270121978610754,1.0669704824090005,1.0314112494289875,1.5476414414048194,1.4588661341369151,1.4626131841540337,1.2596714575588703,0.16188345346243466,-0.114287341,0.180633949,35,Omnivore,2,7245301.606,0.22,2,Resident,1.3646430271863936
Common Loon,Gavia immer,Gaviiformes,Gaviidae (Loons),Gavia_immer,1.3034589481949805,1.417040713250637,1.2945767851173877,0.6809624799340963,0.3795448926091194,0.36285767014324666,0.37580758045613766,0.49686910705268383,0.7374455628991127,1.1836287171542645,1.2892394404113292,0.4331802369749289,0.098170821,0.174723907,4400,VertFishScav,1.6666666666666667,12624457.05,0.11,2,Migrant,1.3187940965592861
