COMMON_NAME,SCIENTIFIC_NAME,IUCN_category,TipLabel
Northern Mountain Cacique,Cacicus leucoramphus,LC,Cacicus_leucoramphus
Southern Mountain Cacique,Cacicus chrysonotus,LC,Cacicus_chrysonotus
Red-rumped Cacique,Cacicus haemorrhous,LC,Cacicus_haemorrhous
Casqued Oropendola,Cacicus oseryi,LC,Clypicterus_oseryi
Band-tailed Oropendola,Cacicus latirostris,LC,Ocyalus_latirostris
Scott's Oriole,Icterus parisorum,LC,Icterus_parisorum
Audubon's Oriole,Icterus graduacauda,LC,Icterus_graduacauda
Yellow-backed Oriole,Icterus chrysater,LC,Icterus_chrysater
Jamaican Oriole,Icterus leucopteryx,LC,Icterus_leucopteryx
Orange Oriole,Icterus auratus,LC,Icterus_auratus
Altamira Oriole,Icterus gularis,LC,Icterus_gularis
Yellow Oriole,Icterus nigrogularis,LC,Icterus_nigrogularis
Baltimore Oriole,Icterus galbula,LC,Icterus_galbula
Black-backed Oriole,Icterus abeillei,LC,Icterus_abeillei
Bullock's Oriole,Icterus bullockiorum,LC,Icterus_bullockii
Streak-backed Oriole,Icterus pustulatus,LC,Icterus_pustulatus
Yellow-tailed Oriole,Icterus mesomelas,LC,Icterus_mesomelas
Spot-breasted Oriole,Icterus pectoralis,LC,Icterus_pectoralis
White-edged Oriole,Icterus graceannae,LC,Icterus_graceannae
Campo Troupial,Icterus jamacaii,LC,Icterus_jamacaii
Venezuelan Troupial,Icterus icterus,LC,Icterus_icterus
